Name,CMC,Type,Color,Set,Collector Number,Rarity,Color Category,Status,Finish,Maybeboard,Image URL,Image Back URL,Tags,Notes,MTGO ID
"Thrashing Brontodon",3,"Creature - Dinosaur",G,"rix","148",uncommon,g,Not Owned,Non-foil,false,,,"dinosaurs, artifact_removal, enchantment_removal, u4.6, core","",66749,
"Timberwatch Elf",3,"Creature - Elf",G,"cma","156",common,g,Owned,Non-foil,false,,,"core, elves","",,
"Tireless Tracker",3,"Creature - Human Scout",G,"soi","233",rare,g,Owned,Non-foil,false,,,"occasional","",60320,
"Troll Ascetic",3,"Creature - Troll Shaman",G,"cm2","146",rare,g,Owned,Non-foil,false,,,"occasional","",,
"Yasova Dragonclaw",3,"Legendary Creature - Human Warrior",G,"frf","148",rare,m,Owned,Non-foil,false,,,"occasional","",55430,
"Yavimaya Elder",3,"Creature - Human Druid",G,"c18","166",common,g,Owned,Non-foil,false,,,"occasional","",,
"Blastoderm",4,"Creature - Beast",G,"gvl","7",common,g,Not Owned,Non-foil,false,,,"counters, ramp, enrage, aggrocontrol, u2.76, core","",,
"Briarhorn",4,"Creature - Elemental",G,"lrw","199",uncommon,g,Not Owned,Non-foil,false,,,"flash, heroic, blink, aggrocontrol, u2.0, core","",28547,
"Dwynen, Gilt-Leaf Daen",4,"Legendary Creature - Elf Warrior",G,"ddu","2",rare,g,Not Owned,Non-foil,false,,,"elves, u4.6.2, u4.7.12, occasional","",,
"Forgotten Ancient",4,"Creature - Elemental",G,"cm2","137",rare,g,Owned,Non-foil,false,,,"core, counters, spells","",,
"Immaculate Magistrate",4,"Creature - Elf Shaman",G,"cma","117",rare,g,Owned,Non-foil,false,,,"occasional","",,
"Nightpack Ambusher",4,"Creature - Wolf",G,"m20","185",rare,g,Not Owned,Non-foil,false,,,"flash, tokens, aggrocontrol, u4.7.7, smoothing, core","",73269,
"Penumbra Spider",4,"Creature - Spider",G,"mm3","131",common,g,Not Owned,Non-foil,false,,,"sacrifice, tokens, enrage, stax, u2.67, core","",63089,
"Ripjaw Raptor",4,"Creature - Dinosaur",G,"xln","203",rare,g,Not Owned,Non-foil,false,,,"dinosaurs, enrage, ramp, pingers, u3.4, core","",65426,
"Temur Sabertooth",4,"Creature - Cat",G,"c17","159",uncommon,g,Owned,Non-foil,false,,,"occasional","",,
"Thelonite Hermit",4,"Creature - Elf Shaman",G,"c19","184",rare,g,Owned,Non-foil,false,,,"occasional","",77482,
"Wickerbough Elder",4,"Creature - Treefolk Shaman",G,"uma","192",common,g,Owned,Non-foil,false,,,"core, artifact_removal, enchantment_removal","",70457,
"Acidic Slime",5,"Creature - Ooze",G,"m11","161",uncommon,g,Not Owned,Non-foil,false,,,"blink, ramp, artifact_removal, enchantment_removal, u3.4, core","",37180,
"Ageless Entity",5,"Creature - Elemental",G,"ddh","18",rare,g,Owned,Non-foil,false,,,"occasional","",42189,
"Cultivator of Blades",5,"Creature - Elf Artificer",G,"kld","151",rare,g,Not Owned,Non-foil,false,,,"artifacts, heroic, elves, counters, tokens, sacrifice, blink, ramp, wide, stax, u2.92, core","",62023,
"Garruk's Packleader",5,"Creature - Beast",G,"c19","168",uncommon,g,Owned,Non-foil,false,,,"occasional","",77450,
"Genesis",5,"Creature - Incarnation",G,"mh1","166",rare,g,Owned,Non-foil,false,,,"occasional","",72704,
"Indrik Stomphowler",5,"Creature - Beast",G,"cma","119",uncommon,g,Owned,Non-foil,false,,,"occasional","",,
"Keeper of Fables",5,"Creature - Cat",G,"eld","163",uncommon,g,Owned,Non-foil,false,,,"occasional","",78464,
"Majestic Myriarch",5,"Creature - Chimera",G,"c20","182",mythic,g,Owned,Non-foil,false,,,"occasional","",,
"Weatherseed Treefolk",5,"Creature - Treefolk",G,"ulg","116",rare,g,Owned,Non-foil,false,,,"occasional","",12475,
"Carnage Tyrant",6,"Creature - Dinosaur",G,"xln","179",mythic,g,Owned,Non-foil,false,,,"occasional","",65376,
"Honored Hydra",6,"Creature - Snake Hydra",G,"akh","172",rare,g,Not Owned,Non-foil,false,,,"zombies, graveyard, manasink, ramp, tokens, reanimator, enrage, u3.0, core","",63946,
"Kogla, the Titan Ape",6,"Legendary Creature - Ape",G,"iko","162",rare,g,Owned,Non-foil,false,,,"u4.9.3, ramp, artifact_removal, enchantment_removal, humans, removal, reanimator, core, blink","",80333,
"Multani, Yavimaya's Avatar",6,"Legendary Creature - Elemental Avatar",G,"dom","174",mythic,g,Owned,Non-foil,false,,,"occasional","",67813,
"Rhox",6,"Creature - Rhino Beast",G,"10e","291",rare,g,Owned,Non-foil,false,,,"occasional","",27346,
"Silvos, Rogue Elemental",6,"Legendary Creature - Elemental",G,"ema","186",rare,g,Owned,Non-foil,false,,,"occasional","",60765,
"Beanstalk Giant",7,"Creature - Giant",G,"eld","149",uncommon,g,Owned,Non-foil,false,,,"u4.9.3, ramp, control, manasink, core","",78428,
"Decimator of the Provinces",10,"Creature - Eldrazi Boar",G,"emn","2",mythic,g,Not Owned,Non-foil,false,,,"sacrifice, reanimator, tokens, wide, u4.8, core","",61456,
"Rampaging Brontodon",7,"Creature - Dinosaur",G,"g18","GP5",rare,g,Owned,Non-foil,false,,,"occasional","",,
"Verdant Force",8,"Creature - Elemental",G,"dom","187",rare,g,Owned,Non-foil,false,,,"occasional","",67839,
"Verdant Sun's Avatar",7,"Creature - Dinosaur Avatar",G,"xln","213",rare,g,Owned,Non-foil,false,,,"occasional","",65446,
"Blossoming Defense",1,"Instant",G,"kld","146",uncommon,g,Owned,Non-foil,false,,,"occasional","",62027,
"Stinging Shot",1,"Instant",G,"akh","189",common,g,Not Owned,Non-foil,false,,,"spells, flash, u4.7, removal, smoothing, core","",63980,
"Vines of Vastwood",1,"Instant",G,"zen","193",common,g,Not Owned,Non-foil,false,,,"heroic, flash, ramp, spells, aggrocontrol, u2.0, core","",34410,
"Moment's Peace",2,"Instant",G,"ody","251",common,g,Owned,Non-foil,false,,,"occasional","",16967,
"Strength of the Tajuru",2,"Instant",G,"c20","192",rare,g,Owned,Non-foil,false,,,"occasional","",,
"Sylvan Might",2,"Instant",G,"dds","51",common,g,Owned,Non-foil,false,,,"occasional","",,
"Ambuscade",3,"Instant",G,"hou","110",common,g,Not Owned,Non-foil,false,,,"flash, heroic, aggrocontrol, u4.7.5, removal, core","",64704,
"Chord of Calling",3,"Instant",G,"m15","172",rare,g,Owned,Non-foil,false,,,"occasional","",53742,
"Invigorate",3,"Instant",G,"a25","173",uncommon,g,Owned,Non-foil,false,,,"occasional","",67260,
"Krosan Grip",3,"Instant",G,"c20","181",uncommon,g,Owned,Non-foil,false,,,"occasional","",,
"Collected Company",4,"Instant",G,"dtk","177",rare,g,Owned,Non-foil,false,,,"occasional","",56314,
"Might of Oaks",4,"Instant",G,"m10","192",rare,g,Owned,Non-foil,false,,,"occasional","",32633,
"Stonewood Invocation",4,"Instant",G,"tsp","223",rare,g,Owned,Non-foil,false,,,"occasional","",25807,
"Awakening of Vitu-Ghazi",5,"Instant",G,"war","152",rare,g,Not Owned,Non-foil,false,,,"flash, counters, enrage, spells, u4.7, core","",71910,
"Scatter the Seeds",5,"Instant",G,"gk1","106",common,g,Owned,Non-foil,false,,,"occasional","",,
"Become Immense",6,"Instant",G,"uma","157",uncommon,g,Owned,Non-foil,false,,,"occasional","",70387,
"Hurricane",1,"Sorcery",G,"ath","58",uncommon,g,Owned,Non-foil,false,,,"occasional","",,
"Edge of Autumn",2,"Sorcery",G,"ddg","25",common,g,Owned,Non-foil,false,,,"occasional","",40108,
"Explore",2,"Sorcery",G,"c19","164",common,g,Owned,Non-foil,false,,,"occasional","",77442,
"Rampant Growth",2,"Sorcery",G,"mir","235",common,g,Not Owned,Non-foil,false,,,"ramp, spells, u2.0, u2.89, smoothing, core","",7229,
"Call of the Herd",3,"Sorcery",G,"dds","44",rare,g,Owned,Non-foil,false,,,"occasional","",,
"Kodama's Reach",3,"Sorcery - Arcane",G,"chk","225",common,g,Not Owned,Non-foil,false,,,"ramp, spells, u2.0, core","",21003,
"Savage Stomp",3,"Sorcery",G,"xln","205",uncommon,g,Not Owned,Non-foil,false,,,"dinosaurs, heroic, counters, enrage, spells, tribal_payoff, aggrocontrol, u3.9, removal, core","",65430,
"Search for Tomorrow",3,"Sorcery",G,"ima","185",common,g,Owned,Non-foil,false,,,"occasional","",66249,
"Harmonize",4,"Sorcery",G,"c20","173",uncommon,g,Owned,Non-foil,false,,,"occasional","",,
"Hunting Triad",4,"Tribal Sorcery - Elf",G,"c14","200",uncommon,g,Not Owned,Non-foil,false,,,"elves, counters, flash, tokens, sacrifice, spells, fliers, heroic, wide, stax, aggrocontrol, u4.6, core","",54723,
"Bestial Menace",5,"Sorcery",G,"mm2","141",uncommon,g,Owned,Non-foil,false,,,"occasional","",57162,
"Overrun",5,"Sorcery",G,"dpa","78",uncommon,g,Not Owned,Non-foil,false,,,"tokens, wide, spells, u2.0, u2.67, core","",34233,
"Overwhelming Stampede",5,"Sorcery",G,"c19","175",rare,g,Owned,Non-foil,false,,,"occasional","",77464,
"Desert Twister",6,"Sorcery",G,"cma","100",uncommon,g,Owned,Non-foil,false,,,"occasional","",,
"Seasons Past",6,"Sorcery",G,"soi","226",mythic,g,Not Owned,Non-foil,false,,,"graveyard, manasink, ramp, spells, u2.77, core","",59856,
"Biorhythm",8,"Sorcery",G,"ons","247",rare,g,Owned,Non-foil,false,,,"occasional","",18197,
"Birthing Pod",4,"Artifact",G,"nph","104",rare,g,Owned,Non-foil,false,,,"occasional","",39796,
"Rancor",1,"Enchantment - Aura",G,"a25","186",uncommon,g,Owned,Non-foil,false,,,"occasional","",67286,
"Shapers' Sanctuary",1,"Enchantment",G,"xln","206",rare,g,Not Owned,Non-foil,false,,,"heroic, aggrocontrol, u3.4, core","",65432,
"Cryptolith Rite",2,"Enchantment",G,"soi","200",rare,g,Owned,Non-foil,false,,,"occasional","",59792,
"Evolutionary Leap",2,"Enchantment",G,"ori","176",rare,g,Not Owned,Non-foil,false,,,"sacrifice, manasink, u2.0, u4.7, smoothing, core","",57782,
"Sylvan Library",2,"Enchantment",G,"ema","187",rare,g,Owned,Non-foil,false,,,"occasional","",60785,
"Awakening Zone",3,"Enchantment",G,"roe","176",rare,g,Not Owned,Non-foil,false,,,"tokens, sacrifice, ramp, enrage, wide, stax, u2.61, u2.69, u3.1, core","",36474,
"Descendants' Path",3,"Enchantment",G,"avr","173",rare,g,Owned,Non-foil,false,,,"occasional","",44237,
"Elephant Guide",3,"Enchantment - Aura",G,"ema","163",common,g,Owned,Non-foil,false,,,"occasional","",60675,
"Fecundity",3,"Enchantment",G,"uma","165",uncommon,g,Not Owned,Non-foil,false,,,"sacrifice, u2.62, u4.9, core","",70403,
"Hydra's Growth",3,"Enchantment - Aura",G,"thb","172",uncommon,g,Owned,Non-foil,false,,,"occasional","",79468,
"Moldervine Cloak",3,"Enchantment - Aura",G,"mma","155",common,g,Owned,Non-foil,false,,,"occasional","",49006,
"Squirrel Nest",3,"Enchantment - Aura",G,"mh1","182",uncommon,g,Owned,Non-foil,false,,,"occasional","",72736,
"Path of Discovery",4,"Enchantment",G,"rix","142",rare,g,Owned,Non-foil,false,,,"occasional","",66737,
"Roots",4,"Enchantment - Aura",G,"ema","183",common,g,Owned,Non-foil,false,,,"occasional","",60951,
"Wilderness Reclamation",4,"Enchantment",G,"c20","196",uncommon,g,Owned,Non-foil,false,,,"occasional","",,
"Sandwurm Convergence",8,"Enchantment",G,"akh","183",rare,g,Owned,Non-foil,false,,,"occasional","",63968,
"Azorius Guildmage",2,"Creature - Vedalken Wizard",UW,"gk2","9",uncommon,m,Owned,Non-foil,false,,,"occasional","",,
"Curse of Chains",2,"Enchantment - Aura",WU,"shm","139",common,m,Not Owned,Non-foil,false,,,"tappers, u4.7, removal, core","",29461,
"Momentary Blink",2,"Instant",UW,"mm3","16",common,m,Owned,Non-foil,false,,,"occasional","",63499,
"Absorb",3,"Instant",UW,"rna","151",rare,m,Owned,Non-foil,false,,,"occasional","",71302,
"Roil Spout",3,"Sorcery",UW,"bfz","219",uncommon,m,Owned,Non-foil,false,,,"occasional","",58493,
"Grand Arbiter Augustin IV",4,"Legendary Creature - Human Advisor",UW,"mma","176",rare,m,Owned,Non-foil,false,,,"occasional","",49016,
"Mirrorweave",4,"Instant",UW,"cm2","162",rare,m,Owned,Non-foil,false,,,"occasional","",,
"Supreme Verdict",4,"Sorcery",UW,"ima","210",rare,m,Owned,Non-foil,false,,,"occasional","",66299,
"Swans of Bryn Argoll",4,"Creature - Bird Spirit",UW,"mm2","199",rare,m,Owned,Non-foil,false,,,"occasional","",57058,
"Inniaz, the Gale Force",5,"Legendary Creature - Djinn",UW,"jmp","12",rare,m,Owned,Non-foil,false,,,"occasional","",,
"Migratory Route",5,"Sorcery",WU,"mb1","1456",uncommon,m,Not Owned,Non-foil,false,,,"fliers, tokens, spells, rainbow, wide, evasion, u4.7.12, smoothing, core","",,
"Ashiok, Dream Render",3,"Legendary Planeswalker - Ashiok",BU,"war","228",uncommon,m,Owned,Non-foil,false,,,"occasional","",72062,
"Shadowmage Infiltrator",3,"Creature - Human Wizard",BU,"a25","217",uncommon,m,Owned,Non-foil,false,,,"occasional","",67348,
"Tomebound Lich",3,"Creature - Zombie Wizard",UB,"m20","219",uncommon,m,Not Owned,Non-foil,false,,,"zombies, wizards, graveyard, lifegain, aggrocontrol, blink, u4.8, smoothing, core","",73337,
"Undermine",3,"Instant",BU,"ddh","62",rare,m,Owned,Non-foil,false,,,"occasional","",42140,
"Evil Twin",4,"Creature - Shapeshifter",BU,"bbd","222",rare,m,Owned,Non-foil,false,,,"occasional","",,
"Lochmere Serpent",6,"Creature - Serpent",BU,"eld","195",rare,m,Owned,Non-foil,false,,,"occasional","",78534,
"Oona, Queen of the Fae",6,"Legendary Creature - Faerie Wizard",UB,"shm","172",rare,m,Owned,Non-foil,false,,,"occasional","",29597,
"Spite // Malice",8,"Instant ",UB,"ddh","71",uncommon,m,Not Owned,Non-foil,false,,,"aggrocontrol, spells, flash, u2.91, u4.8, removal, core","",42223,
"Tymaret, the Murder King",2,"Legendary Creature - Zombie Warrior",BR,"ths","207",rare,m,Owned,Non-foil,false,,,"occasional","",50528,
"Blightning",3,"Sorcery",BR,"a25","198",uncommon,m,Owned,Non-foil,false,,,"occasional","",67310,
"Lightning Skelemental",3,"Creature - Elemental Skeleton",BR,"mh1","208",rare,m,Not Owned,Non-foil,false,,,"burn, sacrifice, aggrocontrol, u4.7.12, core","",72788,
"Blazing Specter",4,"Creature - Specter",BR,"ddh","52",rare,m,Owned,Non-foil,false,,,"occasional","",42136,
"Murderous Redcap",4,"Creature - Goblin Assassin",BR,"uma","217",uncommon,m,Owned,Non-foil,false,,,"occasional","",70507,
"Bituminous Blast",5,"Instant",BR,"pca","83",uncommon,m,Owned,Non-foil,false,,,"occasional","",,
"Kulrath Knight",5,"Creature - Elemental Knight",BR,"shm","190",uncommon,m,Owned,Non-foil,false,,,"occasional","",29557,
"Master of Cruelties",5,"Creature - Demon",BR,"gk2","66",mythic,m,Owned,Non-foil,false,,,"occasional","",,
"Torrent of Souls",5,"Sorcery",BR,"mm3","213",uncommon,m,Not Owned,Non-foil,false,,,"reanimator, burn, tokens, wide, u2.87, u4.8, core","",63091,
"Void",5,"Sorcery",BR,"ema","211",rare,m,Owned,Non-foil,false,,,"occasional","",60961,
"Rakdos, the Showstopper",6,"Legendary Creature - Demon",BR,"rna","199",mythic,m,Owned,Non-foil,false,,,"occasional","",71398,
"Atarka's Command",2,"Instant",GR,"dtk","213",rare,m,Owned,Non-foil,false,,,"occasional","",56040,
"Reap the Past",2,"Sorcery",GR,"mh1","211",rare,m,Owned,Non-foil,false,,,"occasional","",72794,
"Boggart Ram-Gang",3,"Creature - Goblin Warrior",GR,"pd2","13",uncommon,m,Owned,Non-foil,false,,,"occasional","",39238,
"Branching Bolt",3,"Instant",GR,"arc","82",common,m,Owned,Non-foil,false,,,"occasional","",,
"Firespout",3,"Sorcery",RG,"shm","205",uncommon,m,Not Owned,Non-foil,false,,,"enrage, spells, control, u2.0, u2.91, u4.7, removal, core, wrath","",29637,
"Gruul Spellbreaker",3,"Creature - Ogre Warrior",GR,"rna","179",rare,m,Owned,Non-foil,false,,,"occasional","",71358,
"Rhythm of the Wild",3,"Enchantment",GR,"rna","201",uncommon,m,Owned,Non-foil,false,,,"counters, wide, core","",71402,
"Stormbind",3,"Enchantment",GR,"tsb","102",rare,m,Owned,Non-foil,false,,,"occasional","",26057,
"Bloodbraid Elf",4,"Creature - Elf Berserker",GR,"pca","84",uncommon,m,Owned,Non-foil,false,,,"occasional","",,
"Wort, the Raidmother",6,"Legendary Creature - Goblin Shaman",GR,"c20","234",rare,m,Owned,Non-foil,false,,,"occasional","",,
"Dromoka's Command",2,"Instant",GW,"dtk","221",rare,m,Owned,Non-foil,false,,,"occasional","",56182,
"Selesnya Guildmage",2,"Creature - Elf Wizard",GW,"gk1","119",uncommon,m,Owned,Non-foil,false,,,"occasional","",,
"Travel Preparations",2,"Sorcery",GW,"uma","188",uncommon,m,Owned,Non-foil,false,,,"occasional","",70449,
"Congregation at Dawn",3,"Instant",GW,"rav","198",uncommon,m,Owned,Non-foil,false,,,"occasional","",23300,
"Good-Fortune Unicorn",3,"Creature - Unicorn",WG,"mh1","201",uncommon,m,Not Owned,Non-foil,false,,,"counters, u4.7.7, core","",72774,
"Kitchen Finks",3,"Creature - Ouphe",GW,"uma","216",uncommon,m,Owned,Non-foil,false,,,"occasional","",70047,
"Growing Ranks",4,"Enchantment",WG,"rtr","217",rare,m,Not Owned,Non-foil,false,,,"tokens, stax, u3.5, core","",46759,
"Loxodon Hierarch",4,"Creature - Elephant Cleric",GW,"gk1","114",rare,m,Owned,Non-foil,false,,,"occasional","",,
"Juniper Order Ranger",5,"Creature - Human Knight",GW,"cm2","158",uncommon,m,Owned,Non-foil,false,,,"occasional","",,
"Novablast Wurm",7,"Creature - Wurm",GW,"wwk","119",mythic,m,Owned,Non-foil,false,,,"occasional","",35553,
"Phantom Nishoba",7,"Creature - Cat Beast Spirit",GW,"c17","188",rare,m,Owned,Non-foil,false,,,"occasional","",,
"Castigate",2,"Sorcery",BW,"gpt","106",common,m,Owned,Non-foil,false,,,"occasional","",23843,
"Gerrard's Verdict",2,"Sorcery",BW,"apc","102",uncommon,m,Owned,Non-foil,false,,,"occasional","",16126,
"Tidehollow Sculler",2,"Artifact Creature - Zombie",BW,"md1","2",uncommon,m,Owned,Non-foil,false,,,"occasional","",,
"Gift of Orzhova",3,"Enchantment - Aura",WB,"mm3","209",common,m,Not Owned,Non-foil,false,,,"heroic, lifegain, fliers, evasion, aggrocontrol, u4.4, core","",63411,
"Mortify",3,"Instant",BW,"rna","192",uncommon,m,Owned,Non-foil,false,,,"occasional","",71384,
"Pillory of the Sleepless",3,"Enchantment - Aura",BW,"gk2","44",uncommon,m,Owned,Non-foil,false,,,"occasional","",,
"Vindicate",3,"Sorcery",BW,"a25","219",rare,m,Owned,Non-foil,false,,,"occasional","",67352,
"Divinity of Pride",5,"Creature - Spirit Avatar",BW,"c13","228",rare,m,Owned,Non-foil,false,,,"occasional","",50912,
"Unburial Rites",5,"Sorcery",BW,"c20","139",uncommon,m,Owned,Non-foil,false,,,"occasional","",,
"Grind // Dust",6,"Sorcery ",WB,"hou","155",rare,m,Not Owned,Non-foil,false,,,"counters, counters_payoff, u4.7.7, removal, core","",64826,
"Angel of Despair",7,"Creature - Angel",BW,"gk2","37",rare,m,Owned,Non-foil,false,,,"occasional","",,
"Deathrite Shaman",1,"Creature - Elf Shaman",BG,"gk1","59",rare,m,Owned,Non-foil,false,,,"occasional","",,
"Elves of Deep Shadow",1,"Creature - Elf Druid",BG,"gk1","56",common,m,Owned,Non-foil,false,,,"occasional","",,
"Abrupt Decay",2,"Instant",BG,"gk1","57",rare,m,Owned,Non-foil,false,,,"occasional","",,
"Winding Constrictor",2,"Creature - Snake",BG,"aer","140",uncommon,m,Owned,Non-foil,false,,,"occasional","",62823,
"Dreg Mangler",3,"Creature - Plant Zombie",BG,"rtr","158",uncommon,m,Owned,Non-foil,false,,,"occasional","",46447,
"Grismold, the Dreadsower",3,"Legendary Creature - Troll Shaman",BG,"c19","44",rare,m,Owned,Non-foil,false,,,"core, counters, tokens, sacrifice","",77142,
"Pernicious Deed",3,"Enchantment",BG,"a25","212",rare,m,Owned,Non-foil,false,,,"occasional","",67338,
"Putrefy",3,"Instant",BG,"mb1","1466",uncommon,m,Not Owned,Non-foil,false,,,"spells, flash, artifact_removal, u2.0, u4.8, removal, core","",,
"Jarad, Golgari Lich Lord",4,"Legendary Creature - Zombie Elf",BG,"gk1","65",mythic,m,Owned,Non-foil,false,,,"occasional","",,
"The Gitrog Monster",5,"Legendary Creature - Frog Horror",BG,"soi","245",mythic,m,Owned,Non-foil,false,,,"occasional","",60004,
"Vulturous Zombie",5,"Creature - Plant Zombie",BG,"cm2","170",rare,m,Owned,Non-foil,false,,,"occasional","",,
"Icefeather Aven",2,"Creature - Bird Shaman",GU,"c19","194",uncommon,m,Owned,Non-foil,false,,,"occasional","",77506,
"Simic Charm",2,"Instant",GU,"gtc","195",uncommon,m,Owned,Non-foil,false,,,"occasional","",47485,
"Snakeform",3,"Instant",GU,"c15","242",common,m,Owned,Non-foil,false,,,"occasional","",,
"Trygon Predator",3,"Creature - Beast",GU,"c20","232",uncommon,m,Owned,Non-foil,false,,,"occasional","",,
"Bounty of the Luxa",4,"Enchantment",GU,"c19","189",rare,m,Owned,Non-foil,false,,,"occasional","",77492,
"Frilled Mystic",4,"Creature - Elf Lizard Wizard",UG,"rna","174",uncommon,m,Not Owned,Non-foil,false,,,"flash, elves, wizards, aggrocontrol, blink, u4.7, core","",71348,
"Prophet of Kruphix",5,"Creature - Human Wizard",GU,"cp1","5",rare,m,Owned,Non-foil,false,,,"occasional","",,
"Sagu Mauler",6,"Creature - Beast",GU,"c19","200",rare,m,Owned,Non-foil,false,,,"occasional","",77522,
"Simic Sky Swallower",7,"Creature - Leviathan",UG,"gk2","124",rare,m,Owned,Non-foil,false,,,"u2.0, u4.9.3, ramp, graveyard, reanimator, core","",,
"Izzet Charm",2,"Instant",RU,"gk1","41",uncommon,m,Owned,Non-foil,false,,,"occasional","",,
"Jilt",2,"Instant",RU,"apc","27",common,m,Owned,Non-foil,false,,,"occasional","",16172,
"Sprite Dragon",2,"Creature - Faerie Dragon",UR,"iko","211",uncommon,m,Owned,Non-foil,false,,,"core, fliers, counters, spells","",80431,
"Enigma Drake",3,"Creature - Drake",RU,"m19","216",uncommon,m,Owned,Non-foil,false,,,"occasional","",68593,
"Fevered Visions",3,"Enchantment",RU,"soi","244",rare,m,Owned,Non-foil,false,,,"occasional","",59764,
"Geistblast",3,"Instant",RU,"soi","160",uncommon,m,Owned,Non-foil,false,,,"occasional","",60174,
"Gelectrode",3,"Creature - Weird",UR,"ddj","5",uncommon,m,Not Owned,Non-foil,false,,,"spells, pingers, u2.81, u3.10, u4.7.9, occasional","",46210,
"Rielle, the Everwise",3,"Legendary Creature - Human Wizard",RU,"iko","203",mythic,m,Owned,Non-foil,false,,,"occasional","",80415,
"Saheeli, Sublime Artificer",3,"Legendary Planeswalker - Saheeli",UR,"war","234",uncommon,m,Owned,Non-foil,false,,,"artifacts, counters, spells, core, tokens","",72074,
"Crackling Drake",4,"Creature - Drake",RU,"c20","206",uncommon,m,Owned,Non-foil,false,,,"occasional","",,
"Suffocating Blast",4,"Instant",RU,"apc","124",rare,m,Owned,Non-foil,false,,,"occasional","",16266,
"Expansion // Explosion",6,"Instant",RU,"grn","224",rare,m,Owned,Non-foil,false,,,"occasional","",69837,
"Figure of Destiny",1,"Creature - Kithkin",RW,"ddl","3",rare,m,Owned,Non-foil,false,,,"occasional","",49887,
"Boros Charm",2,"Instant",RW,"gk1","84",uncommon,m,Owned,Non-foil,false,,,"occasional","",,
"Lightning Helix",2,"Instant",RW,"gk1","90",uncommon,m,Owned,Non-foil,false,,,"occasional","",,
"Feather, the Redeemed",3,"Legendary Creature - Angel",RW,"war","197",rare,m,Owned,Non-foil,false,,,"occasional","",72000,
"Goblin Trenches",3,"Enchantment",RW,"ema","203",rare,m,Owned,Non-foil,false,,,"occasional","",60959,
"Orim's Thunder",3,"Instant",RW,"cm2","33",common,m,Owned,Non-foil,false,,,"occasional","",,
"Rally the Peasants",3,"Instant",RW,"uma","28",uncommon,m,Owned,Non-foil,false,,,"occasional","",70129,
"Searing Meditation",3,"Enchantment",RW,"ddh","27",rare,m,Owned,Non-foil,false,,,"occasional","",42207,
"Sunforger",3,"Artifact - Equipment",RW,"c16","275",rare,m,Owned,Non-foil,false,,,"occasional","",,
"Firemane Avenger",4,"Creature - Angel",WR,"gtc","163",rare,m,Not Owned,Non-foil,false,,,"tokens, fliers, lifegain, evasion, wide, u4.6.4, core","",47699,
"Spitemare",4,"Creature - Elemental",WR,"eve","147",uncommon,m,Not Owned,Non-foil,false,,,"enrage, aggrocontrol, u2.0, u4.7, core","",30236,
"Sedraxis Specter",3,"Creature - Specter",BRU,"mm3","181",uncommon,m,Owned,Non-foil,false,,,"occasional","",63131,
"Nicol Bolas, God-Pharaoh",7,"Legendary Planeswalker - Bolas",BRU,"hou","140",mythic,m,Owned,Non-foil,false,,,"occasional","",64764,
"Sprouting Thrinax",3,"Creature - Lizard",BGR,"mm3","189",uncommon,m,Owned,Non-foil,false,,,"occasional","",63135,
"Fiery Justice",3,"Sorcery",GRW,"mm3","164",rare,m,Owned,Non-foil,false,,,"occasional","",63389,
"Palladia-Mors, the Ruiner",6,"Legendary Creature - Elder Dragon",GRW,"m19","219",mythic,m,Owned,Non-foil,false,,,"occasional","",68601,
"Siege Rhino",4,"Creature - Rhino",BGW,"cp3","5",rare,m,Owned,Non-foil,false,,,"occasional","",,
"Jeskai Ascendancy",3,"Enchantment",RUW,"ktk","180",rare,m,Owned,Non-foil,false,,,"occasional","",54436,
"Sidisi, Brood Tyrant",4,"Legendary Creature - Naga Shaman",BGU,"ktk","199",mythic,m,Owned,Non-foil,false,,,"occasional","",54256,
"Zurgo Helmsmasher",5,"Legendary Creature - Orc Warrior",BRW,"ktk","214",mythic,m,Owned,Non-foil,false,,,"occasional","",54250,
"Golos, Tireless Pilgrim",5,"Legendary Artifact Creature - Scout",BGRUW,"m20","226",rare,m,Owned,Non-foil,false,,,"occasional","",73351,
"Bomat Courier",1,"Artifact Creature - Construct",,"kld","199",rare,r,Not Owned,Non-foil,false,,,"artifacts, burn, aggrocontrol, u4.7.6, core","",62075,
"Chronomaton",1,"Artifact Creature - Golem",,"m13","201",uncommon,c,Not Owned,Non-foil,false,,,"artifacts, golems, counters, flash, wide, manasink, u2.61, u4.2, core","",45688,
"Gingerbrute",1,"Artifact Creature - Food Golem",,"eld","219",common,c,Not Owned,Non-foil,false,,,"artifacts, heroic, golems, aggrocontrol, evasion, u4.7.11, core","",78584,
"Hope of Ghirapur",1,"Legendary Artifact Creature - Thopter",,"aer","154",rare,c,Owned,Non-foil,false,,,"artifacts, aggrocontrol, fliers, wide, core","",62895,
"Epochrasite",2,"Artifact Creature - Construct",,"cm2","187",rare,c,Owned,Non-foil,false,,,"occasional","",,
"Metallic Mimic",2,"Artifact Creature - Shapeshifter",,"aer","164",rare,c,Not Owned,Non-foil,false,,,"artifacts, tribal, tokens, counters, blink, tribal_payoff, u3.8, core","",62565,
"Perilous Myr",2,"Artifact Creature - Myr",,"a25","227",uncommon,c,Owned,Non-foil,false,,,"core, artifacts, sacrifice, wide","",67368,
"Scrapheap Scrounger",2,"Artifact Creature - Construct",,"kld","231",rare,b,Not Owned,Non-foil,false,,,"artifacts, graveyard, aggrocontrol, u2.89, core","",62087,
